Date,Sales,Salesimp,Staunton Jams,Salesadj
3/17/2008,823.45,823.45,0,823.45
3/18/2008,716.55,716.55,0,716.55
3/19/2008,630.83,630.83,0,630.83
3/20/2008,775.83,775.83,0,775.83
3/21/2008,967.6,967.6,0,967.6
3/22/2008,1202.95,1202.95,0,1202.95
3/23/2008,701.25,701.25,0,701.25
3/24/2008,,584.11,0,584.11
3/25/2008,486.66,486.66,0,486.66
3/26/2008,732.08,732.08,0,732.08
3/27/2008,724.31,724.31,0,724.31
3/28/2008,335.78,335.78,0,335.78
3/29/2008,1067.94,1067.94,0,1067.94
3/30/2008,1268.95,1268.95,0,1268.95
3/31/2008,344.77,344.77,0,344.77
4/1/2008,650.24,650.24,0,650.24
4/2/2008,793.73,793.73,0,793.73
4/3/2008,434.07,434.07,0,434.07
4/4/2008,1215.51,1215.51,0,1215.51
4/5/2008,1286.68,1286.68,0,1286.68
4/6/2008,273,273,0,273
4/7/2008,544.3,544.3,0,544.3
4/8/2008,688.34,688.34,0,688.34
4/9/2008,814.25,814.25,0,814.25
4/10/2008,855.21,855.21,0,855.21
4/11/2008,1341.86,1341.86,0,1341.86
4/12/2008,1619.43,1619.43,0,1619.43
4/13/2008,171.82,171.82,0,171.82
4/14/2008,270.37,270.37,0,270.37
4/15/2008,686.79,686.79,0,686.79
4/16/2008,876.24,876.24,0,876.24
4/17/2008,902.84,902.84,0,902.84
4/18/2008,1394.14,1394.14,0,1394.14
4/19/2008,1344.36,1344.36,0,1344.36
4/20/2008,440.77,440.77,0,440.77
4/21/2008,156.52,156.52,0,156.52
4/22/2008,504.11,504.11,0,504.11
4/23/2008,887.72,887.72,0,887.72
4/24/2008,1319.75,1319.75,0,1319.75
4/25/2008,1067.64,1067.64,0,1067.64
4/26/2008,1517.7,1517.7,0,1517.7
4/27/2008,894.84,894.84,0,894.84
4/28/2008,344.87,344.87,0,344.87
4/29/2008,349.18,349.18,0,349.18
4/30/2008,512.57,512.57,0,512.57
5/1/2008,687.39,687.39,0,687.39
5/2/2008,1165.14,1165.14,0,1165.14
5/3/2008,1311.97,1311.97,0,1311.97
5/4/2008,836.79,836.79,0,836.79
5/5/2008,503.63,503.63,0,503.63
5/6/2008,787.69,787.69,0,787.69
5/7/2008,781.38,781.38,0,781.38
5/8/2008,813.6,813.6,0,813.6
5/9/2008,803.74,803.74,0,803.74
5/10/2008,1127.37,1127.37,0,1127.37
5/11/2008,436.54,436.54,0,436.54
5/12/2008,370.42,370.42,0,370.42
5/13/2008,946.36,946.36,0,946.36
5/14/2008,920.09,920.09,0,920.09
5/15/2008,689.56,689.56,0,689.56
5/16/2008,1041.72,1041.72,0,1041.72
5/17/2008,2530.22,2530.22,1,1530.22
5/18/2008,233.69,233.69,0,233.69
5/19/2008,417.35,417.35,0,417.35
5/20/2008,515.8,515.8,0,515.8
5/21/2008,565.85,565.85,0,565.85
5/22/2008,821.69,821.69,0,821.69
5/23/2008,1059.33,1059.33,0,1059.33
5/24/2008,1282.54,1282.54,0,1282.54
5/25/2008,379.39,379.39,0,379.39
5/26/2008,461.2,461.2,0,461.2
5/27/2008,509.93,509.93,0,509.93
5/28/2008,626.78,626.78,0,626.78
5/29/2008,793.63,793.63,0,793.63
5/30/2008,1066.91,1066.91,0,1066.91
5/31/2008,1020.6,1020.6,0,1020.6
6/1/2008,326.93,326.93,0,326.93
6/2/2008,470.62,470.62,0,470.62
6/3/2008,767.55,767.55,0,767.55
6/4/2008,930.33,930.33,0,930.33
6/5/2008,988.89,988.89,0,988.89
6/6/2008,1246.54,1246.54,0,1246.54
6/7/2008,1038.51,1038.51,0,1038.51
6/8/2008,616.14,616.14,0,616.14
6/9/2008,496.07,496.07,0,496.07
6/10/2008,697.07,697.07,0,697.07
6/11/2008,731.19,731.19,0,731.19
6/12/2008,893.37,893.37,0,893.37
6/13/2008,1027.02,1027.02,0,1027.02
6/14/2008,1243.53,1243.53,0,1243.53
6/15/2008,628.28,628.28,0,628.28
6/16/2008,428.07,428.07,0,428.07
6/17/2008,638.51,638.51,0,638.51
6/18/2008,791.77,791.77,0,791.77
6/19/2008,735.94,735.94,0,735.94
6/20/2008,751.44,751.44,0,751.44
6/21/2008,1228.16,1228.16,0,1228.16
6/22/2008,671.1,671.1,0,671.1
6/23/2008,346.32,346.32,0,346.32
6/24/2008,744.76,744.76,0,744.76
6/25/2008,629.42,629.42,0,629.42
6/26/2008,794.51,794.51,0,794.51
6/27/2008,1315.55,1315.55,0,1315.55
6/28/2008,1035.05,1035.05,0,1035.05
6/29/2008,550.6,550.6,0,550.6
6/30/2008,412.05,412.05,0,412.05
7/1/2008,636.53,636.53,0,636.53
7/2/2008,757.73,757.73,0,757.73
7/3/2008,930.25,930.25,0,930.25
7/4/2008,872.62,872.62,0,872.62
7/5/2008,1288.23,1288.23,0,1288.23
7/6/2008,510.18,510.18,0,510.18
7/7/2008,306.98,306.98,0,306.98
7/8/2008,781.47,781.47,0,781.47
7/9/2008,688.27,688.27,0,688.27
7/10/2008,760.65,760.65,0,760.65
7/11/2008,1125.92,1125.92,0,1125.92
7/12/2008,1319.24,1319.24,0,1319.24
7/13/2008,562.67,562.67,0,562.67
7/14/2008,426.51,426.51,0,426.51
7/15/2008,783.49,783.49,0,783.49
7/16/2008,729.15,729.15,0,729.15
7/17/2008,906.16,906.16,0,906.16
7/18/2008,1105.21,1105.21,0,1105.21
7/19/2008,1136.94,1136.94,0,1136.94
7/20/2008,618.53,618.53,0,618.53
7/21/2008,526.32,526.32,0,526.32
7/22/2008,706.76,706.76,0,706.76
7/23/2008,692.71,692.71,0,692.71
7/24/2008,814.44,814.44,0,814.44
7/25/2008,996.34,996.34,0,996.34
7/26/2008,1247.59,1247.59,0,1247.59
7/27/2008,544.83,544.83,0,544.83
7/28/2008,476.12,476.12,0,476.12
7/29/2008,579.48,579.48,0,579.48
7/30/2008,677.35,677.35,0,677.35
7/31/2008,716.8,716.8,0,716.8
8/1/2008,1055.38,1055.38,0,1055.38
